"region_id","rgn_name","rgn_title"
0,"GLOBAL","Russia"
18,"Arkhangel'sk","Arkhangel'sk"
13,"Chukot","Chukot"
11,"City of St. Petersburg","City of St. Petersburg"
6,"Kaliningrad","Kaliningrad"
5,"Kamchatka","Kamchatka"
12,"Karelia","Karelia"
7,"Khabarovsk","Khabarovsk"
8,"Koryak","Koryak"
2,"Krasnodar","Krasnodar"
10,"Leningrad","Leningrad"
9,"Maga Buryatdan","Maga Buryatdan"
16,"Murmansk","Murmansk"
15,"Nenets","Nenets"
1,"Primor'ye","Primor'ye"
3,"Rostov","Rostov"
17,"Sakha","Sakha"
4,"Sakhalin","Sakhalin"
19,"Taymyr","Taymyr"
14,"Yamal-Nenets","Yamal-Nenets"
