"rgn_id","sciname","category"
18,"Balaenoptera borealis","EN"
13,"Balaenoptera borealis","EN"
11,"Balaenoptera borealis","EN"
6,"Balaenoptera borealis","EN"
5,"Balaenoptera borealis","EN"
12,"Balaenoptera borealis","EN"
7,"Balaenoptera borealis","EN"
8,"Balaenoptera borealis","EN"
2,"Balaenoptera borealis","EN"
10,"Balaenoptera borealis","EN"
9,"Balaenoptera borealis","EN"
16,"Balaenoptera borealis","EN"
15,"Balaenoptera borealis","EN"
1,"Balaenoptera borealis","EN"
3,"Balaenoptera borealis","EN"
17,"Balaenoptera borealis","EN"
4,"Balaenoptera borealis","EN"
19,"Balaenoptera borealis","EN"
14,"Balaenoptera borealis","EN"
18,"Balaenoptera physalus","EN"
13,"Balaenoptera physalus","EN"
11,"Balaenoptera physalus","EN"
6,"Balaenoptera physalus","EN"
5,"Balaenoptera physalus","EN"
12,"Balaenoptera physalus","EN"
7,"Balaenoptera physalus","EN"
8,"Balaenoptera physalus","EN"
2,"Balaenoptera physalus","EN"
10,"Balaenoptera physalus","EN"
9,"Balaenoptera physalus","EN"
16,"Balaenoptera physalus","EN"
15,"Balaenoptera physalus","EN"
1,"Balaenoptera physalus","EN"
3,"Balaenoptera physalus","EN"
17,"Balaenoptera physalus","EN"
4,"Balaenoptera physalus","EN"
19,"Balaenoptera physalus","EN"
14,"Balaenoptera physalus","EN"
18,"Balaena mysticetus","LC"
13,"Balaena mysticetus","LC"
11,"Balaena mysticetus","LC"
6,"Balaena mysticetus","LC"
5,"Balaena mysticetus","LC"
12,"Balaena mysticetus","LC"
7,"Balaena mysticetus","LC"
8,"Balaena mysticetus","LC"
2,"Balaena mysticetus","LC"
10,"Balaena mysticetus","LC"
9,"Balaena mysticetus","LC"
16,"Balaena mysticetus","LC"
15,"Balaena mysticetus","LC"
1,"Balaena mysticetus","LC"
3,"Balaena mysticetus","LC"
17,"Balaena mysticetus","LC"
4,"Balaena mysticetus","LC"
19,"Balaena mysticetus","LC"
14,"Balaena mysticetus","LC"
18,"Ursus maritimus","VU"
13,"Ursus maritimus","VU"
11,"Ursus maritimus","VU"
6,"Ursus maritimus","VU"
5,"Ursus maritimus","VU"
12,"Ursus maritimus","VU"
7,"Ursus maritimus","VU"
8,"Ursus maritimus","VU"
2,"Ursus maritimus","VU"
10,"Ursus maritimus","VU"
9,"Ursus maritimus","VU"
16,"Ursus maritimus","VU"
15,"Ursus maritimus","VU"
1,"Ursus maritimus","VU"
3,"Ursus maritimus","VU"
17,"Ursus maritimus","VU"
4,"Ursus maritimus","VU"
19,"Ursus maritimus","VU"
14,"Ursus maritimus","VU"
18,"Megaptera novaeangliae","LC"
13,"Megaptera novaeangliae","LC"
11,"Megaptera novaeangliae","LC"
6,"Megaptera novaeangliae","LC"
5,"Megaptera novaeangliae","LC"
12,"Megaptera novaeangliae","LC"
7,"Megaptera novaeangliae","LC"
8,"Megaptera novaeangliae","LC"
2,"Megaptera novaeangliae","LC"
10,"Megaptera novaeangliae","LC"
9,"Megaptera novaeangliae","LC"
16,"Megaptera novaeangliae","LC"
15,"Megaptera novaeangliae","LC"
1,"Megaptera novaeangliae","LC"
3,"Megaptera novaeangliae","LC"
17,"Megaptera novaeangliae","LC"
4,"Megaptera novaeangliae","LC"
19,"Megaptera novaeangliae","LC"
14,"Megaptera novaeangliae","LC"
18,"Balaenoptera musculus","EN"
13,"Balaenoptera musculus","EN"
11,"Balaenoptera musculus","EN"
6,"Balaenoptera musculus","EN"
5,"Balaenoptera musculus","EN"
12,"Balaenoptera musculus","EN"
7,"Balaenoptera musculus","EN"
8,"Balaenoptera musculus","EN"
2,"Balaenoptera musculus","EN"
10,"Balaenoptera musculus","EN"
9,"Balaenoptera musculus","EN"
16,"Balaenoptera musculus","EN"
15,"Balaenoptera musculus","EN"
1,"Balaenoptera musculus","EN"
3,"Balaenoptera musculus","EN"
17,"Balaenoptera musculus","EN"
4,"Balaenoptera musculus","EN"
19,"Balaenoptera musculus","EN"
14,"Balaenoptera musculus","EN"
18,"Eschrichtius robustus","LC"
13,"Eschrichtius robustus","LC"
11,"Eschrichtius robustus","LC"
6,"Eschrichtius robustus","LC"
5,"Eschrichtius robustus","LC"
12,"Eschrichtius robustus","LC"
7,"Eschrichtius robustus","LC"
8,"Eschrichtius robustus","LC"
2,"Eschrichtius robustus","LC"
10,"Eschrichtius robustus","LC"
9,"Eschrichtius robustus","LC"
16,"Eschrichtius robustus","LC"
15,"Eschrichtius robustus","LC"
1,"Eschrichtius robustus","LC"
3,"Eschrichtius robustus","LC"
17,"Eschrichtius robustus","LC"
4,"Eschrichtius robustus","LC"
19,"Eschrichtius robustus","LC"
14,"Eschrichtius robustus","LC"
18,"Cetorhinus maximus","VU"
13,"Cetorhinus maximus","VU"
11,"Cetorhinus maximus","VU"
6,"Cetorhinus maximus","VU"
5,"Cetorhinus maximus","VU"
12,"Cetorhinus maximus","VU"
7,"Cetorhinus maximus","VU"
8,"Cetorhinus maximus","VU"
2,"Cetorhinus maximus","VU"
10,"Cetorhinus maximus","VU"
9,"Cetorhinus maximus","VU"
16,"Cetorhinus maximus","VU"
15,"Cetorhinus maximus","VU"
1,"Cetorhinus maximus","VU"
3,"Cetorhinus maximus","VU"
17,"Cetorhinus maximus","VU"
4,"Cetorhinus maximus","VU"
19,"Cetorhinus maximus","VU"
14,"Cetorhinus maximus","VU"
18,"Balaenoptera acutorostrata","LC"
13,"Balaenoptera acutorostrata","LC"
11,"Balaenoptera acutorostrata","LC"
6,"Balaenoptera acutorostrata","LC"
5,"Balaenoptera acutorostrata","LC"
12,"Balaenoptera acutorostrata","LC"
7,"Balaenoptera acutorostrata","LC"
8,"Balaenoptera acutorostrata","LC"
2,"Balaenoptera acutorostrata","LC"
10,"Balaenoptera acutorostrata","LC"
9,"Balaenoptera acutorostrata","LC"
16,"Balaenoptera acutorostrata","LC"
15,"Balaenoptera acutorostrata","LC"
1,"Balaenoptera acutorostrata","LC"
3,"Balaenoptera acutorostrata","LC"
17,"Balaenoptera acutorostrata","LC"
4,"Balaenoptera acutorostrata","LC"
19,"Balaenoptera acutorostrata","LC"
14,"Balaenoptera acutorostrata","LC"
18,"Isurus oxyrinchus","VU"
13,"Isurus oxyrinchus","VU"
11,"Isurus oxyrinchus","VU"
6,"Isurus oxyrinchus","VU"
5,"Isurus oxyrinchus","VU"
12,"Isurus oxyrinchus","VU"
7,"Isurus oxyrinchus","VU"
8,"Isurus oxyrinchus","VU"
2,"Isurus oxyrinchus","VU"
10,"Isurus oxyrinchus","VU"
9,"Isurus oxyrinchus","VU"
16,"Isurus oxyrinchus","VU"
15,"Isurus oxyrinchus","VU"
1,"Isurus oxyrinchus","VU"
3,"Isurus oxyrinchus","VU"
17,"Isurus oxyrinchus","VU"
4,"Isurus oxyrinchus","VU"
19,"Isurus oxyrinchus","VU"
14,"Isurus oxyrinchus","VU"
