"cntry_key","year","usd"
"RUS",1989,7990.545963
"RUS",1990,8013.809781
"RUS",1991,7850.375308
"RUS",1992,6847.963502
"RUS",1993,6398.737187
"RUS",1994,5715.416435
"RUS",1995,5613.432656
"RUS",1996,5529.344234
"RUS",1997,5722.022079
"RUS",1998,5492.502635
"RUS",1999,5950.899858
"RUS",2000,6832.77652
"RUS",2001,7361.276638
"RUS",2002,8029.473646
"RUS",2003,9254.466332
"RUS",2004,10250.57419
"RUS",2005,11852.80594
"RUS",2006,14949.24914
"RUS",2007,16742.56228
"RUS",2008,20276.16274
"RUS",2009,19226.59523
"RUS",2010,20770.41644
"RUS",2011,22408.3909
"RUS",2012,23549.08698
