"cntry_key","sector","year","value"
"RUS","cf",2002,14232239372.064
"RUS","cf",2007,12684520153.76
"RUS","mar",2007,2049946.37232
"RUS","mar",2010,32195115
"RUS","mar",2011,49240710
"RUS","mmw",1998,0
"RUS","mmw",2008,1165400.41
"RUS","og",2004,80353742908.572
"RUS","og",2005,120604009726.956
"RUS","og",2006,140100701053.432
"RUS","og",2007,161497692833.484
"RUS","og",2008,208741764000
"RUS","og",2009,145318028904.776
"RUS","tour",2007,9603722409.04
"RUS","tour",2008,9958189512.14
"RUS","tour",2009,10179634919.1
"RUS","tour",2010,9855865130.52
"RUS","tour",2011,1.08403e+11
"RUS","tour",2012,1.14619e+11
