"rgn_id","rgn_name","area_km2"
18,"Arkhangel'sk",1054644.125
13,"Chukot",661514.5
11,"City of St. Petersburg",906.350219727
6,"Kaliningrad",11603.5537109
5,"Kamchatka",789620.1875
12,"Karelia",13142.1738281
7,"Khabarovsk",257268.15625
8,"Koryak",345344.75
2,"Krasnodar",65297.5664062
10,"Leningrad",10664.7128906
9,"Maga Buryatdan",214638.53125
16,"Murmansk",214718.171875
15,"Nenets",222881.140625
1,"Primor'ye",208138.828125
3,"Rostov",1778.26782227
17,"Sakha",1195683.5
4,"Sakhalin",1153600.875
19,"Taymyr",998142.375
14,"Yamal-Nenets",200964.546875
