" ","score","status","future","trend","pressures","resilience"
"Index",67.88,,68.91,,,
"Food Provision",3.12,3.02,3.22,0,,
". Fisheries",3.1,3,3.2,0,36.54,57.04
". Mariculture",14.21,13.28,15.13,0.13,33.74,49.64
"Artisanal Fishing Opportunity",72.77,69.94,75.6,0.01,35.49,58.08
"Natural Products",4.3,4.11,4.5,0.01,33.55,60.64
"Carbon Storage",,100,,,,59.98
"Coastal Protection",70.84,68.75,72.94,0,41.05,59.98
"Tourism & Recreation",100,100,100,-0.05,56.03,67.66
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",100,100,100,0.56,37.09,45.43
". Economies",100,100,100,1,36.94,48.02
"Sense of Place",86.17,85,87.35,0,,
". Iconic Species",72.35,70,74.69,0,39.01,59.32
". Lasting Special Places",100,100,100,0,44.19,60.84
"Clean Waters",80.79,78.38,83.2,0.1,68.93,67.66
"Biodiversity",92.88,92.33,93.42,-0.02,,
". Habitats",99.9,99.81,100,0,35.21,56.97
". Species",85.85,84.86,86.84,-0.04,40.01,55.18
